"Fecha","Ultimo","Apertura","Diferencia","Maximo","Minimo","Volumen"
03/12/10,"10014,8","9915,5","0,70%","10037,4","9882,9",281357000
02/12/10,"9947,6","9788,4","2,80%","9986,5",9549,449858000
01/12/10,"9678,4","9344,2","4,40%","9715,8","9331,4",382574000
30/11/10,"9267,2","9362,2","-0,60%","9397,7","9203,4",387037000
29/11/10,"9324,7",9587,"-2,30%","9676,7","9312,7",356379000
26/11/10,"9547,2","9649,4","-1,80%","9652,8","9442,6",338450000
25/11/10,"9721,8","9790,9","-0,20%","9790,9","9556,1",214012000
24/11/10,"9742,6","9706,9","0,50%","9790,3","9567,7",284383000
23/11/10,"9691,8","9943,3","-3,00%","9943,3","9691,8",353051000
22/11/10,"9996,4","10388,8","-2,70%","10393,4","9968,3",270912000
19/11/10,"10271,7","10326,7","-0,50%","10327,4","10133,2",333406000
18/11/10,"10325,3","10250,3","1,30%","10363,3",10249,232811000
17/11/10,"10189,3","10085,6","0,90%","10219,6",10074,179678000
16/11/10,"10095,4","10264,9","-2,50%","10299,4","10095,4",209493000
15/11/10,"10349,7","10165,5","1,20%","10377,8","10131,6",184836000
12/11/10,"10226,8","9980,4","0,80%","10296,1",9891,334717000
11/11/10,"10149,5","10224,5","-0,80%","10242,1","10062,9",286054000
10/11/10,"10235,4","10379,6","-1,70%","10417,5","10171,1",260498000
09/11/10,"10409,8","10254,4","1,10%","10448,6","10237,7",216064000
08/11/10,"10291,8",10335,"-1,30%","10351,4","10217,4",230096000
05/11/10,"10428,1","10657,5","-1,60%","10660,4","10369,9",324960000
04/11/10,"10602,8","10698,4","0,30%","10744,3","10567,4",313369000
03/11/10,"10569,5","10788,5","-1,80%","10795,1","10528,4",239127000
02/11/10,"10762,1","10562,2","1,10%","10768,6","10540,2",284248000
01/11/10,"10649,5","10901,8","-1,50%","10903,4","10602,2",193508000
29/10/10,"10812,9","10735,3","0,60%","10878,7","10683,9",201939000
28/10/10,"10753,5","10715,7","0,50%","10777,6","10657,3",238585000
27/10/10,"10700,1","10747,4","-0,90%","10865,4","10693,7",222956000
26/10/10,"10797,8",10825,"-0,70%","10855,9","10729,7",172823000
25/10/10,"10870,3",10986,"-0,50%","10988,4","10835,2",149932000
22/10/10,"10924,8","10860,6","0,30%","10984,2","10826,1",133642000
21/10/10,"10892,3","10830,2","0,00%",10943,"10797,5",233268000
20/10/10,"10896,9","10841,1","0,00%","10915,3","10806,7",172940000
19/10/10,"10895,3","10883,7","0,00%","11021,6","10854,1",269322000
18/10/10,"10897,7","10820,1","0,30%","10908,1","10751,2",165844000
15/10/10,"10868,2",10866,"0,20%","10895,7","10785,7",228686000
14/10/10,"10849,7","10898,8","-0,20%","10982,1","10847,4",214966000
13/10/10,"10866,1","10680,2","2,00%","10894,8","10662,4",223613000
12/10/10,"10648,2","10637,9","-0,50%","10666,5","10529,7",157526000
11/10/10,"10700,8","10723,8","-0,20%","10756,9","10645,4",145726000
08/10/10,"10720,8","10705,9","-0,20%","10758,1",10632,156847000
07/10/10,"10740,3","10701,4","0,40%","10830,2","10595,5",177982000
06/10/10,"10700,2","10724,6","0,50%","10803,3","10674,3",225497000
05/10/10,"10651,2","10404,5","2,60%","10654,7",10341,205515000
04/10/10,10383,"10449,2","-0,60%","10493,3","10310,2",186749000
01/10/10,"10450,1","10520,1","-0,60%",10638,"10391,6",227229000
30/09/10,"10514,5","10407,4","0,30%",10681,"10378,8",233735000
29/09/10,"10486,8","10610,4","-1,00%","10670,3","10427,3",175515000
28/09/10,"10590,7","10570,9","-0,20%",10664,"10413,6",207880000
27/09/10,10613,10732,"-1,10%","10767,3","10574,8",147302000
24/09/10,"10727,6","10456,9","2,20%","10748,4","10418,4",234779000
23/09/10,"10501,5","10652,8","-0,50%","10653,5","10401,8",229657000
22/09/10,"10555,2","10803,9","-1,90%","10805,5","10511,9",220396000
21/09/10,"10762,5","10718,2","0,20%","10902,5","10718,1",213903000
20/09/10,"10743,1","10622,1","1,50%","10751,3","10569,1",173247000
17/09/10,"10588,6","10799,6","-1,20%","10839,7","10544,4",313047000
16/09/10,"10716,8","10741,8","-0,30%","10787,6","10703,5",133924000
15/09/10,"10751,8",10846,"-0,50%","10846,5",10670,146178000
14/09/10,"10806,6","10759,9","0,40%",10835,"10689,9",161443000
13/09/10,"10765,2","10775,7","0,70%","10831,2",10734,154164000
10/09/10,"10689,6","10642,7","-0,20%",10725,"10622,7",140766000
09/09/10,"10712,9","10547,3","1,20%","10773,6","10497,9",186434000
08/09/10,"10586,2","10449,1","1,00%","10609,4",10420,147374000
07/09/10,"10479,1","10579,2","-1,40%","10592,4","10410,3",145891000
06/09/10,"10622,7","10678,8","0,20%","10678,9","10597,9",79130000
03/09/10,"10599,4","10556,9","0,60%","10708,8","10503,1",180728000
02/09/10,"10537,6","10513,9","-0,10%","10578,6","10467,7",148750000
01/09/10,"10544,8","10232,7","3,50%","10544,8","10170,1",200281000
31/08/10,10187,"9980,9","0,50%",10187,"9964,2",181126000
30/08/10,10136,"10201,5","-0,10%","10211,6","10097,7",74499000
27/08/10,"10148,2","9951,3","1,40%","10164,8","9938,1",148166000
26/08/10,"10004,4","9992,8","1,10%","10056,4","9934,8",138039000
25/08/10,9894,"10034,7","-1,60%","10088,7","9773,8",186301000
24/08/10,"10052,3","10129,5","-1,70%","10140,7","9954,8",157979000
23/08/10,"10221,2","10117,1","1,30%","10306,2","10087,7",119938000
20/08/10,"10094,3","10220,9","-1,40%","10302,6","10018,7",154417
19/08/10,10238,10441,"-1,50%","10538,2","10225,6",175873
18/08/10,10391,"10322,8","0,20%","10411,9","10250,9",107459
17/08/10,"10369,5","10283,7","1,10%","10380,5","10203,9",138751
16/08/10,"10258,3","10284,5","-0,20%","10335,7","10143,7",119635
13/08/10,"10275,8","10438,4","-0,60%","10448,2","10201,6",165485
12/08/10,"10342,4",10335,"-0,30%","10432,4","10259,7",173575
11/08/10,"10374,8","10631,9","-3,20%","10688,1",10336,208225
10/08/10,"10718,5","10757,3","-0,90%","10801,9","10673,9",117520
09/08/10,"10812,6","10802,8","1,50%","10831,2","10764,8",106315
06/08/10,"10651,1","10886,2","-1,70%","10907,3","10576,5",166733
05/08/10,10840,"10868,4","0,00%","10953,1","10786,4",150181
04/08/10,"10843,3","10865,4","-0,30%","10905,7","10720,5",150733
03/08/10,"10871,4","10781,9","0,30%",10884,"10727,4",182947
02/08/10,"10835,4","10535,4","3,20%","10860,8","10489,8",219448
30/07/10,"10499,8","10607,8","-1,50%","10638,6","10430,3",214577
29/07/10,"10659,5",10678,"0,10%",10788,"10602,5",217487
28/07/10,"10643,9","10712,4","0,00%","10721,8","10595,9",196578
27/07/10,10645,"10544,8","1,30%","10684,7","10533,1",257327
26/07/10,"10506,7","10476,7","1,10%","10512,4",10331,174565
23/07/10,"10388,2","10257,5","0,80%","10417,3","10221,4",279655
22/07/10,"10302,9","9974,4","2,60%","10334,7","9967,8",203141
21/07/10,"10040,8","10129,1","-0,20%","10168,3","10003,5",184997
20/07/10,"10061,3","10036,2","1,30%","10076,2","9804,9",192426
19/07/10,"9929,8","9961,3","-0,60%","10157,6","9849,9",154040
16/07/10,"9991,7","10196,2","-1,70%","10253,9","9913,3",206855
15/07/10,"10160,2","10232,7","-1,20%","10318,7","10077,3",249585
14/07/10,"10278,5","10309,6","0,20%","10315,2","10159,4",183793
13/07/10,"10259,5","10084,6","2,00%","10259,5",10044,181687
12/07/10,"10058,2","10145,4","-0,70%","10146,4","9967,5",153818
09/07/10,"10127,3","10165,4","0,50%","10185,5","10044,7",204139
08/07/10,"10080,5","10067,9","0,90%","10120,7","9929,6",320938
07/07/10,"9987,4","9529,8","3,90%","9987,4",9457,345160
06/07/10,9615,9356,"3,60%","9698,1","9346,3",222679
05/07/10,"9281,5","9247,3","0,30%","9367,3",9202,153607
02/07/10,"9250,8",9228,"0,80%","9434,3","9158,7",209527
01/07/10,"9178,2","9041,7","-0,90%",9341,"8977,7",277680
30/06/10,"9263,4","9212,1","1,10%","9407,4","9122,6",279907
29/06/10,"9160,4","9525,4","-5,50%","9544,9","9160,4",247661
28/06/10,"9688,5","9612,4","1,60%","9705,2","9490,1",186724
25/06/10,9535,"9576,4","-0,50%","9677,6","9451,5",229339
24/06/10,"9586,5","9953,7","-3,00%","9969,8","9549,3",221757
23/06/10,9886,"9896,6","-1,30%","10031,3","9824,7",186333
22/06/10,"10016,1","10020,7","-0,60%","10071,7",9872,225615
21/06/10,"10071,9","10127,7","1,00%","10209,5",10016,203965
18/06/10,"9971,8","9774,8","2,20%","10051,8","9773,6",398791
17/06/10,"9755,1",9671,"0,70%","9841,3","9650,9",239358
16/06/10,"9683,3","9803,9","-0,60%","9838,8","9572,2",250802
15/06/10,"9736,9","9475,8","1,60%","9764,9",9414,256958
14/06/10,9584,9662,"0,20%","9690,7","9483,7",265712
11/06/10,"9561,7",9276,"4,00%","9648,7","9265,7",422401
10/06/10,"9198,2","8807,8","3,70%","9242,6","8712,3",291718
09/06/10,"8868,7","8725,9","2,30%","8868,7","8610,6",273070
08/06/10,"8669,8","8880,4","-1,40%","8888,9","8563,6",263259
07/06/10,"8795,3","8825,2","-1,40%","8962,6",8664,244842
